16;4,169;5;2,694;2,582;-5,593;;;
8;-0,149;8;4,352;1,959;1,603;;;
7;0,072;1;3,56;1,584;-4,959;;;
20;4,142;5;0,47;2,733;5,019;;;
6;2,065;6;1,189;3,076;-3,518;;;
7;1,512;6;0,771;2,068;1,799;;;
4;3,71;9;2,04;3,212;-2,075;;;
2;3,676;3;3,429;1,216;3,498;;;
3;2,376;7;4,729;2,914;-10,481;;;
11;2,679;8;2,04;2,73;1,756;;;
3;3,136;6;3,871;0,306;4,577;;;
9;0,723;8;1,696;2,588;1,863;;;
7;3,983;9;1,264;1,349;-3,499;;;
9;2,871;3;2,083;1,367;6,687;;;
9;0,884;2;6,551;3,18;2,064;;;
7;3,311;0;2,951;2,489;-3,957;;;
7;-0,416;7;3,831;2,036;-1,693;;;
7;1,134;9;1,528;2,214;2,716;;;
5;-0,671;5;7,304;1,868;-11,909;;;
8;-0,802;6;6,748;3,204;-6,11;;;
11;0,031;3;9,575;3,326;-3,218;;;
13;1,129;4;1,88;2,685;-0,221;;;1,642140704
8;4,113;8;5,285;2,238;0,92;;;
6;3,078;4;0,314;2,614;-3,691;;;
13;2,509;13;1,7;2,905;-5,29;;;
6;2,414;5;1,515;0,995;-2,406;;;
8;1,686;4;1,366;3,078;2,425;;;
8;0,848;6;2,476;2,654;2,662;;;
3;2,49;6;4,943;2,979;0,339;;;
7;-0,946;8;6,203;2,527;1,303;;;
5;-0,167;3;1,816;2,155;-6,832;;;
6;-0,461;4;2,932;1,554;-0,518;;;
12;0,675;4;0,702;2,59;5,213;;;
12;1,545;2;3,508;1,361;-1,673;;;
9;3,27;3;4,405;2,389;-4,746;;;
9;0,624;7;0,995;0,549;-2,835;;;
2;0,984;6;0,465;1,99;-1,084;;;
5;0,236;8;7,393;2,776;-6,011;;;
3;-0,274;6;2,143;0,206;5,057;;;
13;2,318;3;0,72;1,37;-2,574;;;
6;3,411;7;0,915;2,774;-1,841;;;
4;-0,883;4;5,097;1,353;-4,41;;;
17;2,626;8;2,781;3,246;2,479;;;
4;1,698;5;8,413;2,38;-1,684;;;
5;-0,752;9;2,17;2,992;2,752;;;
3;2,72;6;4,975;1,672;-9,574;;;
3;1,946;8;1,287;1,154;-3,477;;;
18;3,127;7;1,571;1,726;-4,798;;;
3;1,837;6;3,452;1,288;-6,702;;;
4;0,6;3;2,446;2,346;-10,563;;;
19;2,006;10;3,23;0,615;1,121;;;
2;0,497;8;0,486;1,26;-5,313;;;
2;3,204;4;0,343;1,966;-7,845;;;
10;1,458;10;3,215;3,33;-4,79;;;
11;3,395;9;1,39;3,07;-1,845;;;
10;1,795;5;1,139;2,835;-4,302;;;
5;0,826;2;2,4;1,407;2,162;;;
4;1,772;6;0,417;1,625;5,471;;;
3;-0,476;6;2,261;3,022;-0,136;;;
9;1,877;5;0,615;0,948;-2,614;;;
5;1,344;5;0,511;3,176;-4,389;;;
25;3,073;6;0,224;2,355;-1,099;;;
9;-0,894;5;1,912;2,092;2,986;;;
9;1,531;3;4,566;1,158;-5,53;;;
5;0,522;2;2,818;1,819;5,593;;;
10;1,441;6;6,121;0,963;-4,496;;;
10;-0,123;5;2,6;1,665;-10,888;;;
15;-0,024;6;0,999;1,851;2,496;;;
3;-0,371;1;4,481;2,981;-3,15;;;
9;0,066;10;2,341;1,478;-5,691;;;
9;0,029;5;1,4;3,246;1,179;;;
3;3,798;6;1,764;0,859;1,299;;;
11;0,743;5;3,638;3,046;0,974;;;
7;2,012;4;2,973;2,287;-2,564;;;
5;1,551;9;0,599;1,226;-5,728;;;
8;2,094;3;1,789;2,682;-5,797;;;
2;2,453;4;1,1;1,36;-1,901;;;
13;4,164;6;1,405;1,332;4,479;;;
9;0,577;8;2,836;2,427;1,847;;;
5;-0,183;8;2,353;2,912;-0,014;;;
3;2,982;8;1,91;0,728;-11,47;;;
12;2,571;5;0,818;0,923;-2,082;;;
6;1,252;6;0,727;3,216;-0,909;;;
2;3,61;2;2,721;2,348;-6,362;;;
6;1,203;6;1,397;3,208;-2,237;;;
4;0,89;1;0,344;2,842;-3,951;;;
8;0,135;6;0,541;0,721;-2,545;;;
3;1,708;5;4,244;0,328;-7,586;;;
19;-0,962;2;4,03;2,694;2,39;;;
15;1,759;3;2,056;2,825;-3,672;;;
7;0,484;8;0,873;3,06;1,934;;;
10;1,222;6;1,823;1,37;1,636;;;
4;-0,362;12;2,167;1,572;-4,289;;;
2;2,425;8;5,646;3,217;-1,058;;;
18;0,513;12;6,765;1,536;-4,605;;;
5;2,898;6;3,967;2,503;-0,128;;;
10;-0,945;5;2,952;1,242;-9,048;;;
7;0,146;7;1,693;2,586;4,036;;;
7;3,323;4;1,133;2,764;-0,727;;;
10;0,483;8;1,788;2,64;-10,615;;;
5;1,175;3;0,934;2,155;6,479;;;
3;4,142;9;3,081;1,949;-3,902;;;
11;-0,798;5;1,096;1,595;1,567;;;
6;3,809;7;2,314;1,477;-2,13;;;
18;3,171;6;1,17;0,569;-6,583;;;
6;2,175;1;1,027;0,917;0,16;;;
6;3,25;3;5,069;2,47;-7,281;;;
4;1,603;8;1,593;2,266;-8,635;;;
5;3,73;6;1,638;2,332;-1,869;;;
9;3,934;5;6,51;2,47;-3,023;;;
3;1,9;6;0,641;3,31;6,303;;;
17;-0,509;7;3,451;2,555;-6,393;;;
10;3,938;4;1,918;2,893;-1,167;;;
12;2,536;5;1,638;0,636;-4,873;;;
4;1,041;4;4,534;3,215;-0,812;;;
2;1,73;6;1,14;2,035;0,693;;;
10;2,192;8;3,846;3,242;-3,489;;;
8;1,349;3;1,037;0,063;-5,929;;;
15;3,57;8;3,388;2,033;-6,384;;;
4;3,64;4;0,513;2;-5,995;;;
24;3,585;1;2,405;1,048;-4,416;;;
8;3,393;8;5,497;3,076;-5,374;;;
9;2,774;7;0,642;3,106;-2,618;;;
11;2,63;4;2,589;1,232;0,964;;;
13;3,287;4;4,295;3,237;-4,769;;;
13;3,972;1;8,212;2,254;1,703;;;
12;-0,361;8;1,867;3,147;-2,432;;;
6;3,837;6;3,202;2,069;-2,077;;;
5;0,605;3;7,39;2,506;7,09;;;
29;0,433;7;1,32;1,62;-6,976;;;
20;-0,057;2;1,63;1,089;-3,79;;;
7;4,099;8;2,443;3,114;-0,185;;;
9;0,732;5;0,213;2,534;-1,09;;;
6;0,338;5;1,941;3,278;-8,54;;;
7;1,314;5;2,598;3,289;-1,761;;;
10;0,106;4;2,234;0,38;-9,751;;;
7;4,031;6;3,307;1,184;-6,444;;;
12;1,51;7;7,723;1,591;1,063;;;
3;1,333;11;4,636;2,089;-3,454;;;
7;4,089;4;7,154;0,894;-9,61;;;
10;-0,993;10;4,481;1,972;-7,492;;;
5;2,581;9;1,459;1,95;-3,395;;;
4;-0,847;3;1,506;3,062;-14,373;;;
8;0,101;6;1,087;1,128;-4,223;;;
22;2,246;8;5,482;2,818;-1,511;;;
11;1,652;4;1,475;1,235;-0,195;;;
8;4,025;6;2,352;2,427;-5,13;;;
4;-0,064;5;0,999;2,847;-1,386;;;
8;3,352;6;2,404;1,248;-9,579;;;
7;0,561;9;2,431;3,296;4,07;;;
5;2,257;5;2,773;2,769;-3,532;;;
2;0,724;2;3,092;3,222;-2,463;;;
7;4,071;5;0,925;0,8;-1,902;;;
2;-0,773;6;3,34;2,303;-2,538;;;
2;3,614;8;1,784;1,537;-2,866;;;
17;1,998;8;2,036;1,645;-7,156;;;
9;1,239;5;1,67;1,537;5,825;;;
9;3,586;6;7,968;3,099;2,87;;;
18;1,796;5;2,597;2,337;2,938;;;
17;1,293;5;2,98;0,709;2,809;;;
6;-0,744;14;1,769;2,478;-2,957;;;
4;-0,085;9;1,951;3,097;-3,713;;;
5;1,171;2;1,674;2,253;-4,448;;;
8;0,576;5;1,988;3,03;-5,217;;;
22;0,47;3;2,339;2,66;-5,933;;;
27;4,121;2;5,467;2,766;-3,937;;;
2;3,887;1;3,226;3,23;4,17;;;
7;-0,631;10;2,355;2,651;-3,394;;;
24;1,778;2;2,777;2,683;6,505;;;
16;2,607;6;0,509;0,306;4,618;;;
12;0,8;5;1,099;2,842;-1,928;;;
2;3,659;5;2,683;1,864;3,385;;;
15;0,597;4;2,406;2,431;5,067;;;
4;3,339;1;1,545;2,507;-5,497;;;
17;2,027;5;2,071;3,003;-8,018;;;
10;3,341;2;3,834;1,46;-8,421;;;
2;0,846;5;1,32;2,707;-1,113;;;
9;3,476;6;0,306;2,151;-1,454;;;
6;3,669;7;1,146;1,904;-7,461;;;
5;-0,874;8;1,157;2,24;5,969;;;
5;2,52;6;1,44;2,656;-8,957;;;
10;1,907;6;1,888;1,808;-0,2;;;
2;-0,854;6;6,676;0,951;-0,478;;;
5;3,623;8;1,479;1,065;-3,816;;;
3;0,312;6;1,882;3,111;4,951;;;
3;3,032;11;0,964;1,156;-1,275;;;
21;0,655;4;4,663;1,441;-8,024;;;
12;3,377;4;0,237;1,766;-11,694;;;
13;0,627;3;4,815;3,198;-0,58;;;
5;3,946;8;3,395;3,255;-2,301;;;
4;1,699;9;2,79;2,613;-2,064;;;
9;-0,274;7;1,645;1,497;-2,824;;;
10;-0,246;6;0,709;2,346;3,988;;;
